bk,series,model,technology,eta,stroke_mm,nm_per_cycle,nm_per_hour,me_min_kg,me_max_kg,fs_max_N,source_energy,source_energy_hour,confidence,variants,n_variants,damping_codes,note,cph
AC86,AC,AC-8-6,hydraulic,0.8,6.0,2.0,8800.0,0.4,21.0,417.0,AC catalogue 2026,AC catalogue 2026,high,AC 8-6 -F -H; AC 8-6 -F -S; AC 8-6 -F -VS,3,"1,2,3",,4400.0
AC105,AC,AC-10-5,hydraulic,0.8,5.0,3.0,10800.0,0.7,31.0,750.0,AC catalogue 2026,AC catalogue 2026,high,AC 10-5-F-H; AC 10-5-F-S; AC 10-5-F-VS,3,"1,2,3",,3600.0
AC108,AC,AC-10-8,hydraulic,0.8,8.0,4.0,15200.0,0.9,41.0,625.0,AC catalogue 2026,AC catalogue 2026,high,AC 10-8-F-H; AC 10-8-F-S; AC 10-8-F-VS,3,"1,2,3",,3800.0
AC1210,AC,AC-12-10,hydraulic,0.8,10.0,5.0,17640.0,1.1,51.0,625.0,AC catalogue 2026,AC catalogue 2026,high,AC 12-10-H; AC 12-10-S; AC 12-10-VS,3,"1,2,3",,3528.0
AC1410,AC,AC-14-10,hydraulic,0.8,10.0,5.0,15000.0,0.3,42.0,625.0,AC catalogue 2026,AC catalogue 2026,high,,0,"1,2,3,4",,3000.0
AC1412,AC,AC-14-12,hydraulic,0.8,12.0,15.0,30000.0,7.9,366.0,1562.0,AC catalogue 2026,AC catalogue 2026,high,AC 14-12-H; AC 14-12-S; AC 14-12-VS,3,"1,2,3",,2000.0
AC1613,AC,AC-16-13,hydraulic,0.8,13.0,17.0,25000.0,0.9,144.0,1635.0,AC catalogue 2026,AC catalogue 2026,high,AC 16-13-F; AC 16-13-M,2,"1,2,3,4",,1470.6
AC2020,AC,AC-20-20,hydraulic,0.8,20.0,25.0,35000.0,0.3,212.0,1562.0,AC catalogue 2026,AC catalogue 2026,high,AC 20-20-M; AC 20-20-U,2,"0,1,2,3,4",,1400.0
AC2220,AC,AC-22-20,hydraulic,0.8,20.0,25.0,35000.0,0.3,212.0,1562.0,AC catalogue 2026,AC catalogue 2026,high,AC 22-20-M,1,"0,1,2,3,4",,1400.0
AC2050,AC,AC-20-50,hydraulic,0.8,50.0,60.0,60000.0,0.8,509.0,1500.0,AC catalogue 2026,AC catalogue 2026,high,AC 20-50-M; AC 20-50-U,2,"0,1,2,3,4",,1000.0
AC2525,AC,AC-25-25,hydraulic,0.8,25.0,85.0,70000.0,1.1,721.0,4250.0,AC catalogue 2026,AC catalogue 2026,high,AC 25-25-M; AC 25-25-U,2,"0,1,2,3,4",,823.5
AC2625,AC,AC-26-25,hydraulic,0.8,25.0,85.0,70000.0,1.1,721.0,4250.0,AC catalogue 2026,AC catalogue 2026,high,,0,"0,1,2,3,4",,823.5
AC3025,AC,AC-30-25,hydraulic,0.8,25.0,120.0,82000.0,1.8,1130.0,6000.0,AC catalogue 2026,AC catalogue 2026,high,,0,"0,1,2,3,4",,683.3
AC3325,AC,AC-33-25,hydraulic,0.8,25.0,120.0,82000.0,1.8,1130.0,6000.0,AC catalogue 2026,AC catalogue 2026,high,,0,"0,1,2,3,4",,683.3
AC3625,AC,AC-36-25,hydraulic,0.8,25.0,120.0,82000.0,1.8,1130.0,6000.0,AC catalogue 2026,AC catalogue 2026,high,,0,"0,1,2,3,4",,683.3
AC3725,AC,AC-37-25,hydraulic,0.8,25.0,120.0,82000.0,1.8,1130.0,6000.0,AC catalogue 2026,AC catalogue 2026,high,,0,"0,1,2,3,4",,683.3
AC2540,AC,AC-25-40,hydraulic,0.8,40.0,130.0,117000.0,1.7,1100.0,4062.0,AC catalogue 2026,AC catalogue 2026,high,,0,"0,1,2,3,4",,900.0
AC4225,AC,AC-42-25,hydraulic,0.8,25.0,250.0,132000.0,4.1,2610.0,12500.0,AC catalogue 2026,AC catalogue 2026,high,AC 42-25 M-H; AC 42-25 M-S; AC 42-25 U-H; AC 42-25 U-S,4,"0,1,2,3,4",,528.0
AC3050,AC,AC-30-50,hydraulic,0.8,50.0,250.0,97000.0,3.7,2350.0,6250.0,AC catalogue 2026,AC catalogue 2026,high,AC 30-50 M ,1,"0,1,2,3,4",,388.0
AC3350,AC,AC-33-50,hydraulic,0.8,50.0,250.0,97000.0,3.7,2350.0,6250.0,AC catalogue 2026,AC catalogue 2026,high,AC 33-50 M ,1,"0,1,2,3,4",,388.0
AC3650,AC,AC-36-50,hydraulic,0.8,50.0,250.0,97000.0,3.7,2350.0,6250.0,AC catalogue 2026,AC catalogue 2026,high,AC 36-50 M ,1,"0,1,2,3,4",,388.0
AC3750,AC,AC-37-50,hydraulic,0.8,50.0,250.0,97000.0,3.7,2350.0,6250.0,AC catalogue 2026,AC catalogue 2026,high,AC 37-50 M ,1,"0,1,2,3,4",,388.0
AC3775,AC,AC-37-75,hydraulic,0.8,75.0,380.0,120000.0,5.6,3560.0,6333.0,AC catalogue 2026,AC catalogue 2026,high,AC 37-75 M ,1,"0,1,2,3,4",,315.8
AC4250,AC,AC-42-50,hydraulic,0.8,50.0,500.0,150000.0,8.3,5220.0,12500.0,AC catalogue 2026,AC catalogue 2026,high,AC 42-50 M-H; AC 42-50 M-S; AC 42-50 U-H; AC 42-50 U-S,4,"0,1,2,3,4",,300.0
AC4275,AC,AC-42-75,hydraulic,0.8,75.0,750.0,190000.0,12.0,7820.0,12500.0,AC catalogue 2026,AC catalogue 2026,high,AC 42-75 M-H; AC 42-75 M-S; AC 42-75 U-H; AC 42-75 U-S,4,"0,1,2,3,4",,253.3
AC6450,AC,AC-64-50,hydraulic,0.8,50.0,1200.0,174000.0,22.0,14000.0,30000.0,AC catalogue 2026,AC catalogue 2026,high,AC 64-50 M-H; AC 64-50 M-S; AC 64-50 U-H; AC 64-50 U-S,4,"0,1,2,3,4",,145.0
AC64100,AC,AC-64-100,hydraulic,0.8,100.0,2300.0,235000.0,43.0,26840.0,28750.0,AC catalogue 2026,AC catalogue 2026,high,AC 64-100 M-H; AC 64-100 M-S; AC 64-100 U-H; AC 64-100 U-S,4,"0,1,2,3,4",,102.2
AC85125,AC,AC-85-125,hydraulic,0.8,125.0,5500.0,935000.0,520.0,82020.0,55000.0,AC catalogue 2026,AC catalogue 2026,high,AC 85-125 M-H; AC 85-125 M-S,2,"1,2,3,4",,170.0
AC85150,AC,AC-85-150,hydraulic,0.8,150.0,6000.0,1500000.0,567.0,89480.0,50000.0,AC catalogue 2026,AC catalogue 2026,high,AC 85-150 M; AC 85-150 M-s,2,"1,2,3,4",,250.0
AC115150,AC,AC-115-150,hydraulic,0.8,150.0,11000.0,2090000.0,1250.0,57810.0,91667.0,AC catalogue 2026,AC catalogue 2026,high,AC 115-150 M -H; AC 115-150 M -S,2,"1,2,3",,190.0
AC115200,AC,AC-115-200,hydraulic,0.8,200.0,14500.0,2320000.0,1640.0,76200.0,90625.0,AC catalogue 2026,AC catalogue 2026,high,AC 115-200 M-S,1,"1,2,3",,160.0
AC115250,AC,AC-115-250,hydraulic,0.8,250.0,18500.0,2683000.0,2100.0,97220.0,92500.0,AC catalogue 2026,AC catalogue 2026,high,,0,"1,2,3",,145.0
ACX3325,ACX,ACX-33-25,hydraulic,0.8,23.0,180.0,90000.0,2.7,1690.0,9783.0,AC catalogue 2026,AC catalogue 2026,high,,0,"0,1,2,3,4",,500.0
ACX3350,ACX,ACX-33-50,hydraulic,0.8,48.5,350.0,105000.0,5.2,3280.0,9020.6,AC catalogue 2026,AC catalogue 2026,high,,0,"0,1,2,3,4",,300.0
ACX3625,ACX,ACX-36-25,hydraulic,0.8,23.0,180.0,90000.0,2.7,1690.0,9783.0,AC catalogue 2026,AC catalogue 2026,high,,0,"0,1,2,3,4",,500.0
ACX3650,ACX,ACX-36-50,hydraulic,0.8,48.5,350.0,105000.0,5.2,3280.0,9020.6,AC catalogue 2026,AC catalogue 2026,high,,0,"0,1,2,3,4",,300.0
